danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri
0.884,0.549,1,-11.683,1,0.471,0.0342,0.0724,0.112,0.394,120.462,audio_features,spotify:track:5NjNYbL0eI1khtqmRRMd5W
0.805,0.931,8,-11.175,1,0.0673,0.00118,0.905,0.103,0.833,128.004,audio_features,spotify:track:3dbZAN8xmv0WuQjRbrvD1O
0.775,0.689,9,-4.94,1,0.054,0.00052,0.719,0.178,0.677,128.34,audio_features,spotify:track:63hz014fyEGlfFEVRwDbdt
0.807,0.537,5,-8.705,0,0.0715,0.00287,0.904,0.103,0.0707,125.99,audio_features,spotify:track:1JEQlx7USrp1Rg5mHggQSa
0.881,0.666,6,-5.724,1,0.0381,0.0725,0.0,0.0998,0.711,108.325,audio_features,spotify:track:2KjJhGtseXQBI5Cg6ZZdc9
0.806,0.835,8,-10.889,1,0.0906,5.65e-05,0.921,0.124,0.168,123.993,audio_features,spotify:track:2Mp52v1835bFXxsRZFkL35
0.818,0.45,6,-5.557,1,0.21,0.0463,0.0,0.0774,0.769,90.096,audio_features,spotify:track:366DLDHAnvMnHP5ECYt4N7
0.842,0.623,5,-8.802,0,0.0924,0.00189,0.524,0.323,0.688,120.014,audio_features,spotify:track:58IEi56ipBaZppE4UFAYQS
0.86,0.517,9,-8.168,0,0.0953,0.0075,0.00205,0.0331,0.589,115.021,audio_features,spotify:track:4vXMKlYcfXzA2MmhYMLJVr
0.912,0.781,7,-7.018,0,0.0444,0.074,0.762,0.348,0.89,119.978,audio_features,spotify:track:2pucDx5Wyz9uHCou4wntHa
0.652,0.896,2,-6.942,0,0.032,0.0436,0.00857,0.0876,0.596,120.007,audio_features,spotify:track:42WRH25mImQiHZiTCO3JmG
0.685,0.862,7,-4.51,1,0.042,0.0347,0.00125,0.165,0.708,120.057,audio_features,spotify:track:3QLquPNdrvnZeS5QVZMlHt
0.747,0.963,8,-5.437,0,0.166,0.0323,0.151,0.164,0.384,125.998,audio_features,spotify:track:54JJuXSiB5hAEaeERa9yEv
0.553,0.511,0,-10.079,1,0.0625,0.112,0.911,0.119,0.465,92.887,audio_features,spotify:track:4htCObURda9CCsEwNh8DYt
0.807,0.942,11,-7.131,0,0.0633,0.000211,0.905,0.0666,0.814,123.984,audio_features,spotify:track:4CAhDx1gNMqX3eN8wmaWsV
0.718,0.54,7,-7.594,0,0.0457,0.0494,0.0279,0.0832,0.243,119.988,audio_features,spotify:track:7swKrYSJ4a4Pkahr94cQl2
0.694,0.87,7,-5.911,0,0.0361,0.139,8.87e-05,0.153,0.598,121.84,audio_features,spotify:track:5EGLIjC0H4iy9emRN4M9W6
0.698,0.933,1,-6.734,1,0.0345,0.00377,0.0715,0.115,0.36,122.977,audio_features,spotify:track:69gwVBrKn2N78sXs54Vqp0
0.826,0.64,3,-6.557,0,0.0544,0.0017,0.856,0.0273,0.762,122.003,audio_features,spotify:track:6OtWYitKPq5RJdmbjuRFCf
0.847,0.434,10,-12.466,0,0.275,0.76,8.89e-06,0.156,0.44,140.005,audio_features,spotify:track:3qIxnOusGoTpHvNVMLHscw
0.699,0.7,11,-5.704,1,0.0392,0.0109,0.0794,0.152,0.3,102.023,audio_features,spotify:track:1Cicn7ce1xoVlq8gthE2eX
0.803,0.614,7,-8.114,1,0.0643,0.00122,0.854,0.0698,0.777,122.006,audio_features,spotify:track:0oHXdQGs9ydb2dx4eeTso1
0.878,0.746,11,-4.281,1,0.0451,0.0476,0.0,0.154,0.792,111.996,audio_features,spotify:track:6pTg4H8juKV9iSzrcVUbM3
0.744,0.614,1,-3.908,0,0.0838,0.00685,0.334,0.0708,0.774,131.994,audio_features,spotify:track:2idmlkd8oUaQvYEtINpLBX
0.896,0.449,11,-8.998,0,0.0517,0.00554,0.0169,0.0857,0.698,118.025,audio_features,spotify:track:4xI3JHyhMVblf0vFY7sDLM
0.666,0.774,1,-5.715,1,0.246,0.0145,1.02e-05,0.0758,0.437,103.911,audio_features,spotify:track:62BKMNUacuQ6X67ID4Qcef
0.629,0.787,5,-8.399,0,0.0646,0.00152,0.359,0.209,0.581,125.998,audio_features,spotify:track:5RByQFt9Mlo8hDYJ921tCv
0.672,0.89,5,-9.558,1,0.0764,0.00523,0.949,0.142,0.921,115.032,audio_features,spotify:track:4rQKkOMEoCUtPLtxTWG4ky
0.868,0.545,2,-7.206,0,0.0313,0.0369,0.00655,0.0766,0.963,114.404,audio_features,spotify:track:3pfJpM4ZrTAoFVi0uSnybS
0.728,0.603,4,-6.681,0,0.0587,0.0286,0.00303,0.581,0.478,137.962,audio_features,spotify:track:0D6VCA9ycrkk9kH9F0p0AB
0.695,0.717,11,-1.454,0,0.395,0.359,0.0,0.277,0.61,75.888,audio_features,spotify:track:5XkeTGKcCkGF8l6fA9YpsS
0.884,0.505,1,-8.322,1,0.265,0.0257,0.0,0.307,0.582,148.042,audio_features,spotify:track:6eKWSrZfzd25TYYxkscWgg
0.793,0.596,0,-9.335,1,0.0456,0.00131,0.7,0.0319,0.622,119.999,audio_features,spotify:track:0saHJmDI3bQkZhslcaqafl
0.83,0.789,11,-6.042,0,0.0706,0.197,1.52e-06,0.491,0.815,124.024,audio_features,spotify:track:0UvrLjZWKKS6IlSxdmtAfL
